task,frame,split,n_refs,H_score,is_hallucination,p_combined,interior_mean_var,frame_score_max,mean_cert_fg,fg_pixel_count,auto_detected_task,p_ivar,p_peak,p_cert,raw_ivar,raw_peak,raw_cert
0_Open the box,frame_0033,high,53,0.955687,1,0.044313,0.055799,1.468993,0.119937,5068,,0.018519,0.981481,0.018519,0.055799,1.468993,0.119937
0_Open the box,frame_0035,high,53,0.955687,1,0.044313,0.045107,1.743879,0.123629,5137,,0.018519,0.981481,0.018519,0.045107,1.743879,0.123629
0_Open the box,frame_0037,high,53,0.955687,1,0.044313,0.047122,1.550911,0.124349,4806,,0.018519,0.981481,0.018519,0.047122,1.550911,0.124349
0_Open the box,frame_0039,high,53,0.99339,1,0.00661,0.033972,2.880015,0.120512,5028,,0.018519,0.574074,0.018519,0.033972,2.880015,0.120512
0_Open the box,frame_0041,high,53,0.971519,1,0.028481,0.062441,1.90923,0.121287,4982,,0.018519,0.944444,0.018519,0.062441,1.90923,0.121287
0_Open the box,frame_0043,high,53,0.971519,1,0.028481,0.025778,1.984575,0.152355,5080,,0.018519,0.944444,0.018519,0.025778,1.984575,0.152355
0_Open the box,frame_0045,high,53,0.955687,1,0.044313,0.067017,1.527216,0.124364,5195,,0.018519,0.981481,0.018519,0.067017,1.527216,0.124364
0_Open the box,frame_0046,high,53,0.955687,1,0.044313,0.056177,1.536819,0.088443,5231,,0.018519,0.981481,0.018519,0.056177,1.536819,0.088443
0_Open the box,frame_0048,high,53,0.955687,1,0.044313,0.067213,1.582936,0.078199,5234,,0.018519,0.981481,0.018519,0.067213,1.582936,0.078199
0_Open the box,frame_0050,high,53,0.955687,1,0.044313,0.061248,1.571516,0.153467,4274,,0.018519,0.981481,0.018519,0.061248,1.571516,0.153467
0_Open the box,frame_0052,high,53,0.955687,1,0.044313,0.026253,1.492395,0.206963,3764,,0.018519,0.981481,0.018519,0.026253,1.492395,0.206963
0_Open the box,frame_0054,high,53,0.933422,0,0.066578,0.020727,1.584048,0.226014,3238,,0.018519,0.981481,0.055556,0.020727,1.584048,0.226014
0_Open the box,frame_0056,high,53,0.962581,1,0.037419,0.026966,1.966872,0.212746,2963,,0.018519,0.944444,0.037037,0.026966,1.966872,0.212746
0_Open the box,frame_0058,high,53,0.934837,0,0.065163,0.031969,1.957933,0.243654,2907,,0.018519,0.944444,0.12963,0.031969,1.957933,0.243654
0_Open the box,frame_0060,high,53,0.899326,0,0.100674,0.025053,1.717257,0.247524,2952,,0.018519,0.981481,0.148148,0.025053,1.717257,0.247524
0_Open the box,frame_0061,high,53,0.911439,0,0.088561,0.026551,1.516714,0.240271,2908,,0.018519,0.981481,0.111111,0.026551,1.516714,0.240271
0_Open the box,frame_0063,high,53,0.965807,1,0.034193,0.008183,2.656117,0.249065,2960,,0.018519,0.703704,0.203704,0.008183,2.656117,0.249065
0_Open the box,frame_0065,high,53,0.945263,0,0.054737,0.009341,2.424268,0.257045,2917,,0.018519,0.814815,0.259259,0.009341,2.424268,0.257045
0_Open the box,frame_0067,high,53,0.989119,1,0.010881,0.005101,4.072253,0.272778,2835,,0.018519,0.166667,0.314815,0.005101,4.072253,0.272778
0_Open the box,frame_0069,high,53,0.989739,1,0.010261,0.026183,2.789501,0.212449,2779,,0.018519,0.611111,0.037037,0.026183,2.789501,0.212449
0_Open the box,frame_0071,high,53,0.996406,1,0.003594,0.012273,4.072387,0.229831,3009,,0.018519,0.166667,0.074074,0.012273,4.072387,0.229831
0_Open the box,frame_0073,high,53,0.995229,1,0.004771,0.027207,2.972229,0.208633,2996,,0.018519,0.462963,0.018519,0.027207,2.972229,0.208633
0_Open the box,frame_0075,high,53,0.905191,0,0.094809,0.068816,1.889936,0.248772,2995,,0.018519,0.962963,0.203704,0.068816,1.889936,0.248772
0_Open the box,frame_0076,high,53,0.944439,0,0.055561,0.043963,2.02127,0.238435,2989,,0.018519,0.944444,0.092593,0.043963,2.02127,0.238435
0_Open the box,frame_0078,high,53,0.932184,0,0.067816,0.030906,2.447597,0.27899,2985,,0.018519,0.814815,0.351852,0.030906,2.447597,0.27899
0_Open the box,frame_0080,high,53,0.991889,1,0.008111,0.00925,4.233658,0.260851,3002,,0.018519,0.12963,0.277778,0.00925,4.233658,0.260851
0_Open the box,frame_0082,high,53,0.965408,1,0.034592,0.011838,2.359285,0.237188,2834,,0.018519,0.851852,0.092593,0.011838,2.359285,0.237188
0_Open the box,frame_0084,high,53,0.857643,0,0.142357,0.016687,1.329048,0.268139,2833,,0.018519,0.981481,0.296296,0.016687,1.329048,0.268139
0_Open the box,frame_0086,high,53,0.949446,0,0.050554,0.055993,2.667747,0.283666,2803,,0.018519,0.703704,0.351852,0.055993,2.667747,0.283666
0_Open the box,frame_0088,high,53,0.857643,0,0.142357,0.027629,1.432107,0.271891,2769,,0.018519,0.981481,0.296296,0.027629,1.432107,0.271891
0_Open the box,frame_0090,high,53,0.8705,0,0.1295,0.014744,1.806678,0.27865,2740,,0.018519,0.962963,0.351852,0.014744,1.806678,0.27865
0_Open the box,frame_0092,high,53,0.807932,0,0.192068,0.012553,1.482508,0.299668,2723,,0.018519,0.981481,0.481481,0.012553,1.482508,0.299668
0_Open the box,frame_0000,low,53,0.6306,0,0.3694,0.001972,2.860345,0.267919,3535,,0.407407,0.574074,0.296296,0.001972,2.860345,0.267919
0_Open the box,frame_0001,low,53,0.924249,0,0.075751,0.003287,2.502086,0.192031,3648,,0.12963,0.796296,0.018519,0.003287,2.502086,0.192031
0_Open the box,frame_0002,low,53,0.977949,1,0.022051,0.21542,2.142627,0.126646,4772,,0.018519,0.907407,0.018519,0.21542,2.142627,0.126646
0_Open the box,frame_0003,low,53,0.971519,1,0.028481,0.15565,1.916001,0.135233,6461,,0.018519,0.944444,0.018519,0.15565,1.916001,0.135233
0_Open the box,frame_0004,low,53,0.990243,1,0.009757,0.170393,2.677439,0.131762,7378,,0.018519,0.703704,0.018519,0.170393,2.677439,0.131762
0_Open the box,frame_0005,low,53,0.986648,1,0.013352,0.143517,2.528118,0.116341,7824,,0.018519,0.796296,0.018519,0.143517,2.528118,0.116341
0_Open the box,frame_0006,low,53,0.995487,1,0.004513,0.122533,3.022378,0.081383,7412,,0.018519,0.444444,0.018519,0.122533,3.022378,0.081383
0_Open the box,frame_0007,low,53,0.934449,0,0.065551,0.003364,2.476264,0.196778,3640,,0.111111,0.796296,0.018519,0.003364,2.476264,0.196778
0_Open the box,frame_0009,low,53,0.962581,1,0.037419,0.00511,1.962545,0.211983,3678,,0.018519,0.944444,0.037037,0.00511,1.962545,0.211983
0_Open the box,frame_0011,low,53,0.965987,1,0.034013,0.11507,1.907708,0.188483,3723,,0.018519,0.962963,0.018519,0.11507,1.907708,0.188483
0_Open the box,frame_0013,low,53,0.955687,1,0.044313,0.130236,1.770412,0.154973,3749,,0.018519,0.981481,0.018519,0.130236,1.770412,0.154973
0_Open the box,frame_0015,low,53,0.971519,1,0.028481,0.181058,1.995957,0.177228,3795,,0.018519,0.944444,0.018519,0.181058,1.995957,0.177228
0_Open the box,frame_0016,low,53,0.955687,1,0.044313,0.203402,1.684727,0.175763,3807,,0.018519,0.981481,0.018519,0.203402,1.684727,0.175763
0_Open the box,frame_0018,low,53,0.965987,1,0.034013,0.19951,1.83896,0.17676,4020,,0.018519,0.962963,0.018519,0.19951,1.83896,0.17676
0_Open the box,frame_0020,low,53,0.955687,1,0.044313,0.207497,1.425611,0.196612,4198,,0.018519,0.981481,0.018519,0.207497,1.425611,0.196612
0_Open the box,frame_0022,low,53,0.971519,1,0.028481,0.168466,2.113819,0.168267,4420,,0.018519,0.944444,0.018519,0.168466,2.113819,0.168267
0_Open the box,frame_0024,low,53,0.981846,1,0.018154,0.178355,2.305209,0.129225,4809,,0.018519,0.87037,0.018519,0.178355,2.305209,0.129225
0_Open the box,frame_0026,low,53,0.986648,1,0.013352,0.172891,2.528303,0.163345,4738,,0.018519,0.796296,0.018519,0.172891,2.528303,0.163345
0_Open the box,frame_0028,low,53,0.955687,1,0.044313,0.15506,1.676301,0.16242,4746,,0.018519,0.981481,0.018519,0.15506,1.676301,0.16242
0_Open the box,frame_0030,low,53,0.983317,1,0.016683,0.200107,2.383491,0.142024,5290,,0.018519,0.851852,0.018519,0.200107,2.383491,0.142024
0_Open the box,frame_0031,low,53,0.977949,1,0.022051,0.166264,2.151439,0.118917,5443,,0.018519,0.907407,0.018519,0.166264,2.151439,0.118917
0_Open the box,frame_0033,low,53,0.965987,1,0.034013,0.132937,1.900735,0.147768,5963,,0.018519,0.962963,0.018519,0.132937,1.900735,0.147768
0_Open the box,frame_0035,low,53,0.971519,1,0.028481,0.126248,2.064423,0.139979,6099,,0.018519,0.944444,0.018519,0.126248,2.064423,0.139979
0_Open the box,frame_0037,low,53,0.991775,1,0.008225,0.140868,2.692503,0.135467,6342,,0.018519,0.648148,0.018519,0.140868,2.692503,0.135467
0_Open the box,frame_0039,low,53,0.965987,1,0.034013,0.172352,1.899051,0.146002,6456,,0.018519,0.962963,0.018519,0.172352,1.899051,0.146002
0_Open the box,frame_0041,low,53,0.965987,1,0.034013,0.163749,1.848781,0.157406,6505,,0.018519,0.962963,0.018519,0.163749,1.848781,0.157406
0_Open the box,frame_0043,low,53,0.99339,1,0.00661,0.169457,2.860944,0.148197,6304,,0.018519,0.574074,0.018519,0.169457,2.860944,0.148197
0_Open the box,frame_0045,low,53,0.977949,1,0.022051,0.172861,2.146793,0.112852,6103,,0.018519,0.907407,0.018519,0.172861,2.146793,0.112852
0_Open the box,frame_0046,low,53,0.971519,1,0.028481,0.152743,2.065127,0.130497,5998,,0.018519,0.944444,0.018519,0.152743,2.065127,0.130497
0_Open the box,frame_0048,low,53,0.971519,1,0.028481,0.185207,2.103753,0.142312,6583,,0.018519,0.944444,0.018519,0.185207,2.103753,0.142312
0_Open the box,frame_0050,low,53,0.992632,1,0.007368,0.176311,2.7682,0.144286,5926,,0.018519,0.611111,0.018519,0.176311,2.7682,0.144286
0_Open the box,frame_0052,low,53,0.981846,1,0.018154,0.195093,2.236021,0.131495,7002,,0.018519,0.87037,0.018519,0.195093,2.236021,0.131495
0_Open the box,frame_0054,low,53,0.985677,1,0.014323,0.168005,2.426092,0.129694,7253,,0.018519,0.814815,0.018519,0.168005,2.426092,0.129694
0_Open the box,frame_0056,low,53,0.985677,1,0.014323,0.158408,2.421053,0.114462,7457,,0.018519,0.814815,0.018519,0.158408,2.421053,0.114462
0_Open the box,frame_0058,low,53,0.994959,1,0.005041,0.143962,2.934542,0.102222,7514,,0.018519,0.481481,0.018519,0.143962,2.934542,0.102222
0_Open the box,frame_0060,low,53,0.995734,1,0.004266,0.153956,3.173865,0.11533,7585,,0.018519,0.425926,0.018519,0.153956,3.173865,0.11533
0_Open the box,frame_0061,low,53,0.975215,1,0.024785,0.161792,2.131636,0.097395,7619,,0.018519,0.925926,0.018519,0.161792,2.131636,0.097395
0_Open the box,frame_0063,low,53,0.988294,1,0.011706,0.152986,2.568071,0.11681,7640,,0.018519,0.759259,0.018519,0.152986,2.568071,0.11681
0_Open the box,frame_0065,low,53,0.992217,1,0.007783,0.167994,2.743097,0.097893,7674,,0.018519,0.62963,0.018519,0.167994,2.743097,0.097893
0_Open the box,frame_0067,low,53,0.989002,1,0.010998,0.117994,2.598034,0.09829,7681,,0.018519,0.740741,0.018519,0.117994,2.598034,0.09829
0_Open the box,frame_0069,low,53,0.986648,1,0.013352,0.121939,2.510444,0.100375,7720,,0.018519,0.796296,0.018519,0.121939,2.510444,0.100375
0_Open the box,frame_0071,low,53,0.988294,1,0.011706,0.139444,2.571433,0.12934,7807,,0.018519,0.759259,0.018519,0.139444,2.571433,0.12934
0_Open the box,frame_0073,low,53,0.981846,1,0.018154,0.133376,2.271435,0.10268,7828,,0.018519,0.87037,0.018519,0.133376,2.271435,0.10268
0_Open the box,frame_0075,low,53,0.995487,1,0.004513,0.104647,3.0574,0.098363,7838,,0.018519,0.444444,0.018519,0.104647,3.0574,0.098363
0_Open the box,frame_0076,low,53,0.990243,1,0.009757,0.116587,2.653517,0.097659,7837,,0.018519,0.703704,0.018519,0.116587,2.653517,0.097659
0_Open the box,frame_0078,low,53,0.984578,1,0.015422,0.112317,2.406893,0.095776,7814,,0.018519,0.833333,0.018519,0.112317,2.406893,0.095776
0_Open the box,frame_0080,low,53,0.985677,1,0.014323,0.117831,2.431507,0.131201,7712,,0.018519,0.814815,0.018519,0.117831,2.431507,0.131201
0_Open the box,frame_0082,low,53,0.995487,1,0.004513,0.132999,3.030885,0.120514,7783,,0.018519,0.444444,0.018519,0.132999,3.030885,0.120514
0_Open the box,frame_0084,low,53,0.995734,1,0.004266,0.126561,3.162364,0.089837,7465,,0.018519,0.425926,0.018519,0.126561,3.162364,0.089837
0_Open the box,frame_0086,low,53,0.995734,1,0.004266,0.109395,3.173497,0.105659,7425,,0.018519,0.425926,0.018519,0.109395,3.173497,0.105659
0_Open the box,frame_0088,low,53,0.996629,1,0.003371,0.108605,3.392761,0.076611,7373,,0.018519,0.351852,0.018519,0.108605,3.392761,0.076611
0_Open the box,frame_0090,low,53,0.996629,1,0.003371,0.120319,3.319585,0.079224,7298,,0.018519,0.351852,0.018519,0.120319,3.319585,0.079224
0_Open the box,frame_0092,low,53,0.996629,1,0.003371,0.113563,3.299517,0.074501,7133,,0.018519,0.351852,0.018519,0.113563,3.299517,0.074501
